"AY","ID","TOTAL_AID","TOTAL_FED_AID","TOTAL_STATE_AID","TOTAL_NONFED_STATE_AID","ZELL_RECIPIENT","HOPE_RECIPIENT","TOTAL_FED_LOAN","TOTAL_ST_LOAN","TOTAL_ALT_LOAN","TOTAL_NON_SELF_HELP_AID","RESOURCES","AWARD_BUDGET","AWARD_EFC","NEED","PRIMARY_EFC","UNMET_NEED","REMAINING_NEED","Rural_vs_Urban","FAFSA_ON_FILE","ISIR_FIRST_GEN","PARS_AGI","PARS_CASH_SAVINGS_CHECKING","PARS_INV_NET_WORTH","PARS_BUSINESS_INV_FARM","RCRAPP3_PAR_TAX_DEF_PENSION","RCRAPP3_PAR_IRA_KEOUGH","RCRAPP1_PAR_CHILD_SUPP","RCRAPP3_PAR_TE_INT_INC","RCRAPP1_PAR_IRA_DISTRIBUTIONS","RCRAPP1_PAR_UNTAX_PENSIONS","RCRAPP3_PAR_HOUSE_FOOD_OTH","RCRAPP1_PAR_VETS_NON_ED_BEN","RCRAPP1_PAR_OTH_UNTAX_INC","RCRAPP3_TAX_DEF_PENSION","RCRAPP4_IRA_KEOGH_AMT","RCRAPP1_CHILD_SUPP","RCRAPP3_TE_INT_INC","RCRAPP1_IRA_DISTRIBUTIONS","RCRAPP1_UNTAX_PENSIONS","RCRAPP3_HOUSE_FOOD_OTH","RCRAPP1_VETS_NON_ED_BEN","RCRAPP1_OTH_UNTAX_INC","RCRAPP1_OTH_NON_REPORT_MONEY","STUS_AGI","STUS_CASH_SAVINGS_CHECK","STUS_INV_NET_WORTH","STUS_BUSINESS_INV_FARM","PELL_GRANT_ELIGIBILITY_FLAG","AUTOMATIC_ZERO_EFC_INDICATOR","SIMPLIFIED_NEEDS_TEST_SNT","BLACK_OR_AFRICAN_AMERICAN","AMERICAN_INDIAN_ALASKA_NATIVE","ASIAN_INC_INDIAN_SUBCONT","NATIVE_HAWAIIAN_PACIFIC_ISL","WHITE_INC_MIDDLE_EASTERN","NO_RESPONSE","MINORITY","level","DEPARTMENT","COLLEGE","FALL_HOURS_REGISTRAR","SPRING_HOURS_REGISTRAR","SUMMER_HOURS_REGISTRAR","ENROLLED_IN_AY_REGISTRAR","ADMISSIONS_MATRIC_TERM","ADMISSIONS_STUDENT_TYPE","ADMISSIONS_APPLICATION_TYPE","DEPENDENCY_STATUS","FAMILY_AGI","FAMILY_CASH_SAVINGS_CHECK","FAMILY_INV_NET_WORTH","FAMILY_BUSINESS_INV_FARM","FAMILY_UNTAXED_INCOME","GRADUATED","GRADUATED_IN_FOUR","LOST_HOPE_ZELL","FLAGGED_SAP","ENROLLED_LAST_TERM"
"1415","",16798,16798,0,0,"zell_n","hope_n",12500,0,0,4298,0,22244,0,22244,0,"17946","5446","Mostly Rural","fafsa_y","1stgen_n",,,,,,,,,,,,,,0,,0,,,,0,0,1418,0,,5,0,0,"pell_elig_y","auto_zero_n","snt_y",,,,,1,,"minority_n","Undergrad","Crop and Soil Sciences","College of Agr and Env Science",6,6,0,"enrolleday_y","201408","Transfer","Transfer Applicant","I",0,5,0,0,1418,"graduated_n","grad_in_four_n","lost_hope_zell_y","flagged_sap_n","enrolled_last_term_n"
"1415","",8590,0,8590,0,"zell_y","hope_n",0,0,0,8590,0,22680,130468,0,130468,"0","0","Mostly Urban","fafsa_y","1stgen_n",461795,15000,200000,100000,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,83,0,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Agricultural and Applied Econ","College of Agr and Env Science",10,9,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",461795,15083,200000,100000,0,"graduated_y","grad_in_four_n","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_y"
"1415","",9948,0,9448,500,"zell_y","hope_n",0,0,0,9948,0,26925,42952,0,42574,"0","0","Mostly Urban","fafsa_y","1stgen_n",144317,110000,100000,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,250,0,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Advertising and Pub Relations","College of Jour and Mass Comm",15,14,3,"enrolleday_y","201408","Freshman","Early Action Applicant","D",144317,110250,100000,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",5646,0,4746,0,"zell_n","hope_y",0,0,0,5646,0,21737,5882,15855,5882,"10209","10209","Mostly Rural","fafsa_y","1stgen_y",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,26289,1500,0,0,"pell_elig_n","auto_zero_n","snt_y",,,,,1,,"minority_n","Undergrad","School of Forestry and Nat Res","School of Forestry and Nat Res",12,9,0,"enrolleday_y","201408","Transfer","Transfer Applicant","I",26289,1500,0,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",23524,8626,7006,6992,"zell_n","hope_y",8626,0,0,14898,0,28921,9249,19672,8871,"4774","0","Mostly Urban","fafsa_y","1stgen_y",70656,1000,5000,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,0,0,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Kinesiology","College of Education",12,13,3,"enrolleday_y","201408","Freshman","Regular Decision Applicant","D",70656,1000,5000,0,0,"graduated_y","grad_in_four_n","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",9590,0,8590,1000,"zell_y","hope_n",0,0,0,9590,0,22680,39364,0,39364,"0","0","Mostly Urban","fafsa_y","1stgen_n",131960,110000,15000,0,15883,0,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,,1000,0,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Advertising and Pub Relations","College of Jour and Mass Comm",15,15,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",131960,111000,15000,0,15883,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",18570,8480,8590,1500,"zell_y","hope_n",5500,0,0,13070,2000,22746,2760,19986,2760,"4916","0","Mostly Urban","fafsa_y","1stgen_n",46693,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5836,0,0,0,"pell_elig_y","auto_zero_n","snt_n",1,,,,,,"minority_y","Undergrad","Cellular Biology","College of Arts and Sciences",16,14,0,"enrolleday_y","201408","Freshman","Regular Decision Applicant","D",52529,700,0,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",9340,0,8590,750,"zell_y","hope_n",0,0,0,9340,0,22680,129006,0,129006,"0","0","Mostly Urban","fafsa_y","1stgen_n",170158,192000,1180639,0,13357,0,0,2648,0,0,0,12238,0,0,0,0,0,0,0,0,0,0,0,2546,80,3800,0,"pell_elig_n","auto_zero_n","snt_n",,,,,1,,"minority_n","Undergrad","Geology","College of Arts and Sciences",12,14,0,"enrolleday_y","201408","Freshman","Early Action Applicant","D",172704,192080,1184439,0,28243,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",14320,5730,8590,0,"zell_y","hope_n",0,0,0,14320,0,22680,0,22680,0,"8360","8360","Mostly Urban","fafsa_y","1stgen_n",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,7029,20,0,0,"pell_elig_y","auto_zero_n","snt_y",,,,,1,,"minority_n","Undergrad","Management","College of Business",16,9,0,"enrolleday_y","201408","Freshman","Regular Decision Applicant","I",7029,20,0,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
"1415","",7760,980,6780,0,"zell_n","hope_y",0,0,0,7760,0,21250,4774,16476,4774,"8716","8716","Mostly Urban","fafsa_y","1stgen_y",35918,8000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5223,5000,0,0,"pell_elig_y","auto_zero_n","snt_n",,,1,,,,"minority_y","Undergrad","Management Information Systems","College of Business",15,15,0,"enrolleday_y","201408","Transfer","Transfer Applicant","D",41141,13000,100000,0,0,"graduated_y","grad_in_four_y","lost_hope_zell_n","flagged_sap_n","enrolled_last_term_n"
